epoch,g_loss,d_loss,val_l1,lr,time_sec
123,22.613906,0.253888,0.218727,0.0005,43.32
124,22.459332,0.293736,0.218529,0.0005,43.36
125,22.398559,0.298059,0.223836,0.0005,43.06
126,22.269641,0.353976,0.218121,0.0005,43.56
127,21.933443,0.338769,0.210916,0.0005,43.29
128,22.354376,0.26266,0.217563,0.0005,42.98
129,22.324508,0.282014,0.223623,0.0005,43.24
130,22.360026,0.281744,0.211668,0.0005,43.47
131,21.490183,0.477418,0.2142,0.0005,43.75
132,22.051311,0.268144,0.220752,0.0005,43.91
133,22.319877,0.282164,0.204266,0.0005,43.42
134,22.244033,0.292784,0.212296,0.0005,43.6
135,22.486086,0.255858,0.217798,0.0005,43.38
136,22.185199,0.324133,0.219446,0.0005,43.69
137,22.057771,0.301045,0.219934,0.0005,43.65
138,22.511632,0.257837,0.219007,0.0005,43.77
139,22.075675,0.337919,0.2224,0.0005,43.38
140,22.428742,0.294295,0.206155,0.0005,43.24
141,22.363563,0.27071,0.221099,0.0005,43.57
142,22.207394,0.285207,0.220727,0.0005,43.94
143,22.374318,0.288605,0.223388,0.0005,43.53
144,22.501152,0.266801,0.203456,0.0005,43.53
145,22.237937,0.326271,0.215772,0.0005,43.62
146,22.579166,0.24929,0.223688,0.0005,43.65
147,22.411206,0.285323,0.218451,0.0005,43.19
148,22.060147,0.317627,0.214516,0.0005,43.28
149,22.320416,0.289671,0.21635,0.0005,43.16
150,22.421216,0.242718,0.218607,0.0005,43.02
151,22.583994,0.267298,0.215442,0.00049733,43.48
152,22.541159,0.264731,0.214625,0.00049467,43.35
153,22.276411,0.331347,0.215938,0.000492,43.39
154,22.254343,0.272219,0.216421,0.00048933,43.71
155,22.654679,0.258156,0.210078,0.00048667,43.21
156,22.354266,0.290745,0.214973,0.000484,43.65
157,22.849263,0.214653,0.220012,0.00048133,43.6
158,22.297982,0.303561,0.215509,0.00047867,43.19
159,22.652733,0.235784,0.215251,0.000476,43.2
160,22.192558,0.287543,0.213107,0.00047333,43.23
161,22.162239,0.297444,0.214757,0.00047067,43.46
162,22.800361,0.228553,0.213357,0.000468,43.4
163,22.460573,0.268441,0.21029,0.00046533,43.18
164,22.41239,0.290717,0.218553,0.00046267,43.06
165,22.417987,0.274616,0.208534,0.00046,43.22
166,22.535952,0.240088,0.21078,0.00045733,43.36
167,22.536373,0.270478,0.210334,0.00045467,43.29
168,22.317689,0.279321,0.212599,0.000452,43.37
169,22.332716,0.255869,0.217963,0.00044933,43.3
170,22.691279,0.230955,0.207905,0.00044667,43.24
171,22.479827,0.261549,0.206183,0.000444,43.14
172,22.769394,0.229865,0.214809,0.00044133,43.25
173,22.664272,0.233207,0.211225,0.00043867,42.87
174,22.616797,0.266203,0.210726,0.000436,42.96
175,22.57811,0.240608,0.220399,0.00043333,42.94
176,22.650244,0.260921,0.210152,0.00043067,42.97
177,22.56541,0.240534,0.2191,0.000428,43.0
178,23.136477,0.206026,0.216859,0.00042533,43.04
179,22.818422,0.220074,0.214228,0.00042267,43.04
180,22.393561,0.277763,0.206241,0.00042,43.01
181,22.160438,0.278235,0.215072,0.00041733,42.97
182,22.38853,0.249467,0.213013,0.00041467,42.95
183,22.979786,0.221453,0.219847,0.000412,43.15
184,22.555271,0.264312,0.214862,0.00040933,42.84
185,22.89977,0.221906,0.21399,0.00040667,42.91
186,23.130655,0.200076,0.216007,0.000404,43.25
187,22.704397,0.269464,0.220423,0.00040133,43.51
188,22.802103,0.230861,0.208858,0.00039867,43.2
189,22.785524,0.222498,0.213472,0.000396,43.5
190,22.910681,0.226039,0.219527,0.00039333,43.27
191,22.665352,0.238459,0.2138,0.00039067,43.08
192,23.020912,0.211356,0.209502,0.000388,43.32
193,22.881362,0.215024,0.206426,0.00038533,43.55
194,22.71578,0.263712,0.212297,0.00038267,43.01
195,22.126634,0.269613,0.2124,0.00038,42.87
196,22.634418,0.252902,0.21146,0.00037733,43.1
197,22.775144,0.210154,0.216426,0.00037467,43.24
198,22.93267,0.219308,0.215955,0.000372,43.24
199,23.537317,0.184358,0.216519,0.00036933,43.26
200,23.072008,0.213963,0.209246,0.00036667,43.06
201,23.175577,0.204935,0.213035,0.000364,43.23
202,22.42272,0.289107,0.211618,0.00036133,43.27
203,23.129908,0.203281,0.213254,0.00035867,43.19
204,22.724011,0.249656,0.219147,0.000356,43.31
205,23.072303,0.187582,0.211788,0.00035333,42.83
206,22.899317,0.232506,0.207083,0.00035067,43.0
207,23.187834,0.199737,0.207528,0.000348,42.83
208,22.945695,0.252006,0.203538,0.00034533,43.12
209,22.643117,0.240002,0.210155,0.00034267,43.26
210,22.984613,0.203234,0.213171,0.00034,43.15
211,22.618375,0.235837,0.216943,0.00033733,43.31
212,22.67487,0.222996,0.213807,0.00033467,43.37
213,23.013271,0.206255,0.20913,0.000332,42.97
214,23.160102,0.193573,0.203143,0.00032933,43.29
215,22.829245,0.227913,0.218507,0.00032667,43.17
216,22.595791,0.263228,0.212238,0.000324,43.37
217,22.783967,0.21546,0.215266,0.00032133,43.37
