epoch,d_loss_train,g_loss_train,l1_train,d_acc_train,g_acc_train,d_loss_val,g_loss_val,l1_val,d_acc_val,g_acc_val
1,0.495392,25.222703,0.233237,80.2691,8.4970,1.024705,22.830426,0.210248,50.0843,9.6534
2,0.483878,24.252488,0.223203,79.9529,9.0895,0.877134,23.729675,0.222012,51.9959,2.7204
